234	Kataisen hallitusten aikana homma on lähtenyt lapasesta aivan täydellisesti .... ja Suomea ollaan kovaa vauhtia viemässä Kreikan tilaan .	neg,neu
235	taitaapa katkeruus usein olla katsojan silmissä !: D	neu,neg
236	Olin oikein tyytyväinen kun ei tarvinnut etsiä ruokapaikkoja .	pos,pos
237	Oliivi ja rapsiöljy ( vain luonnonmukaisesti tuotettuja , Kylmäpuristetut ) .	neu,pos
238	Niin Bulgariastahan ei löydy roskaa ja paskaa ...	neg,neg
239	Vai hakoteillä ?	neu,neg
240	Työni puolesta olen tutustunut heihin niinkuin muihinkin maahanmuuttajiin ja täytyy ikäväkseni sanoa , että venäläiset ovat kaikista inhottavempia ja tympeimpiä käytökseltään .	neg,neg
241	Voi pojat , sanon minä , Heillä on onneksi ihmisiä , jotka jaksavat puolustaa .	pos,pos
242	Kristillinen näkemys pitäisi ensin selvittää itselle , ennen kuin sitä voi selittää faktana muille lähimmäisille .	neu,neg
243	Siitä olen jopa yllättynyt , mutta niin se menee , demokraattisessa päätösenteossa joutuu jotain nielemäänkin .	neu,neu
244	En ole ihan tyhmä kuule !	neg,neg
245	Tuo on kyllä kaiken huippu tuo asuntojen hintojen nousu tsunami !	neg,neg
246	Yksi laillisuuden määritelmä on jatkuvuus .	neu,neu
247	Nyt kannattaa pysyä kotimaassa ja välttää matkustelua , on tämä maailman meno niin epävakaata .	neg,neg
248	Osaatte itsekin lukea tv- ohjelmat , mutta näin saan .	neu,neu
249	Toki siihen pitäisi koulutus saada .	neu,neu
250	Eli nyt en sitten varmaan huomaa , jos tuo MSM : kin siihen auttaa .	neu,neu
251	Kyllä se on niin , että Raamatusta totuus löytyy .	pos,pos
252	Kolmelta autotehtaalta olen tuota paperia kysynyt ja ovat sitä mieltä että aika tyhmä pitää ihmisen olla jos päästöttömyyttä ei näe .	neu,neg
253	Kansalla on ainoastaan yksi mahdollisuus ja tämä on äänestäminen .	pos,neu
254	ovat jauhanneet paskaa niskaan duunarille ja köyhille , silti nämäkin äänestävät samoja pösilöitä !	neg,neg
255	kirjoitit : .... Ymmärrän sitä , että Israel pitää hampain kynsin kiinni pienestä maapalasestaan , sen takia , että pääsyy juutalaisten vainoihin on ollut se , ettei heillä ollut kotimaata .	neu,neu
256	Sehän tuhoaa meidän omaa maatamme , omien kansalaistemme taloutta ja ympäristöä .	neg,neg,neg
257	Millä sellainen ihminen elää ?	neg,neu
258	Ties vaikka nainen on paksuna ja siksi lihava .	neu,neu
259	Tieteellisestä tutkimuksesta ymmärrät kommenttisi perusteella yhtä paljon kuin sika hopealusikasta .	neg,neg
260	Ei Darwinin naurettava evoluutioteoria tee siinä poikkeusta .	neg,neg
261	Edes oppitunnilla .	neu,neg
262	Masis miks et tykkää musta - minusta on tullut nyt aargh ihan vitun sama - minä eli eletään tämän tapailun viimeisiä hetkiä .	neg,neg
263	Eipä ole nykyään enää oikeestaa mitään sellaista työtä missä ei tarvitsisi ammattitaitoa ja koulutusta sille alalle ei voi ajatella että risukoita pistetään raivaamaan nuori ilman suojavarusteita .	neu,neg
264	Kun kyseessä olikikin muiden kuin keskustapuolueen tekemät laittomuudet , eikä petos henkilöä ... , mitäs sinä enää toistelemaan , sinähän jo siitä kirjoitit , vai etkö enää muista .	neg,neg
265	Kyllä William K : n keskiviikkokerho jäi Suomen kulttuurihistoriaan paikkana , jossa monet tapasivat toisensa ensi kertaa , vaihtoivat vapaasti poliittisesti epäkorrekteja mielipiteitä ja huomasivat myös Hommaforumin ulkopuolella , etteivät olletkaan yksin , vaan osa uutta aaltoa , nuorta älykköjen sukupolvea jolle kuuluu Suomessa tulevaisuus niin akateemisessa maailmassa kuin toivottavasti poliittisissa johtotehtävissäkin .	neu,pos
266	Mutta kun vierelle tulee 180cm 110kg bodari alan todellakin näyttää anorektikolta :) Itse pitäisin parempana noin 80kg painoa mutta kauhistuttaa ajatus miltä näyttäisin melkein 20kg painavampana .	neu,pos
267	Ainoa kasvava suomenruotsalaisten joukko on maahanmuuttajat joita rekrytoidaan suomeen , ainoana tarkoituksena elvyttää kuolevaa ruotsinkielen asemaa maasamme .	neg,neg
268	Suomessa on talousasiat huonommalla tolalla kuin 20 vuoteen .	neg,neg
269	Muuten maan talous on ihan kuralla .	neg,neg
270	Sillä saa jasmimäntylöitä , ei kovin paljon kiinnosta .	neg,neg
271	Ruotsin pakollinen opiskelu alkaa pian jo kuudennelta luokalta .	neg,neu
272	äly , koulutus ja oikeus !	pos,pos
273	elämässä , lukeeko rasistilla otsassa rasisti ?	neu,neu
274	Jutan peli on jo niin kovaa että heikompi hermoisia alkaisi jo hirvittämään .	pos,neu
275	Oikealla ja keskustassa on tunkua , tarvitaan vahvaa vasemmistoa todellisen demokratian toteutumiseen Suomessa .	neu,neu
276	Mr .	neu,neu
277	Ajatus on naurettava , koska kokoomuksen kiristysotteessa eivät perheet pysty pitämään huolta edes omasta perheestään .	neg,neg
278	mene www.kreikka.net käytä hakua keskustelussa ja hakusanana iolida village .	neu,neu
279	Sen jälkeen kun halukkaat tulee mukaan bisnekseen , niin keskimääräinen hintataso on ehkä vähän alle nykyisen , mutta hinnan rakenteessa on varmaan yrittäjäkohtaisia eroja .	neu,neu
280	mies rupesi huutamaan , että tyttö on rasisti , kun ei lähden hänen mukaansa :D kovan metakan piti ukkeli .	neg,neu
281	Joten kotiin on aina hyvä tulla , ja täällä on hyvä olla .	pos,pos
282	Totta , onhan se kaunis , siis berline , mutta muotoiluhan onkin _italialaisen_ Bertonen käsialaa .	pos,pos
283	Anteeksi , en muistanut että tässä vaatimassa asiallisessa debaatissa täytyi vaieta vasemmiston nykytilasta sekä kommenteista jotka voivat kääntyä sinua vastaan .	neg,neg
284	kokemuksena pattayalla jo 15 vuoden ajan lomailleena voin kai sanoa että en itse ole huomannut tai kuullut kenenkään tuttavani huomanneen mitään muutosta viranomaisten toiminnassa .	neu,pos
285	Ole niin hyvä ja mene jo pois .	neu,neg,neg,neg,neg
286	Honduras 1907 : USA : n merijalkaväki nousee maihin Hondurasin ja Nicaraguan välisen sodan yhteydessä .	neu,neu
287	Lailliset asukkaat voivat lisätä kansalaisoikeuksien hakemuksensa jopa 90 päivää ennen asumisvaatimusta .	pos,neu
288	Semmonen typerä pikkumies , ei muuta .	neg,neg
289	MItenkä tyhmä on kun tuollaista uskoo ?	neg,neg
290	UUSI YLEINEN NIMITYS VOISI OLLA .	neu,neu
291	että aivan mahtavaa .	pos,pos
292	On hienoa , että meillä on yksi mukapoliittinen porukka , jota voi hyvällä syyllä ja täysin aiheesta haukkua .	neg,neg
293	Miten Suomen tulisi menetellä EU : n ja Euron suhteen Gallup joka tehtiin joulun ( 2011 ) tienoilla näyttää seuraavaa : Erota EU:sta kokonaan 12% Pysyä EU:ssa mutta irrottautua Eurosta 16% Pysyä EU:ssa Euromaana 64% Ei osaa sanoa 8% Tulos näyttää : ihmisillä on järki on tallella !	pos,neu
294	Suomen Sisun suhde Perussuomalaisiin on aina ollut täysin kyyninen .	neg,neg
295	*vrt* Ruuneperin hyvät aloitukset ...	neu,neu
296	Olisi tappanut itsensä .	neg,neg
297	Jos vanhakin piimä on juotuna hyvää , mätä auto priima ajaa tai viallinen lisenssi muutoin käypänen , niin mikäs siinä .	neu,neg
298	virret ... no virsi oi varmaan menestynyt .	pos,pos
299	niiden kaa menee vastustus kyky !!	neg,neg
300	Jäljelle jää vain KD , jolla on jo hyvä alku , joka vahvistuu ensi syksyn kuntavaaleissa .	neu,pos,pos,pos
301	Uusi kansanäänestys Euroopan Unionista kirjattava hallitusohjelmaan .	neu,neu
302	)	neu,neu
303	Sekin raha ja tarmo kohdennetaan paikallis väestön olojen parantamiseen .	pos,neu
304	Heillä on verissä hyvä käytös ja mitä sitä nyt turhaan heti sukulaisiin , ellei ole varma suhteen laadusta ja kestosta .	pos,pos
305	Valtiovarainministeriö katsoo laskelmissaan , että yhteensä 41 kunnan talous on sen verran retuperällä , että niiden pitää selvittää kuntaliitoksen mahdollisuutta .	neg,neg
306	Nykyään eniten ylinopeuksia ajaa raskas liikeenne , jonka lakisäätenen nopeus on 80 km/h linja-autoja lukuunottamatta .	neu,neu
307	Siinä se on taas yks tasa-arvo tantta päässyt oikein elementtiinsä .. Voi kiesus tuota touhua .... siis onko toimittajatyyppi vieraantunut NOIN PALJON suomenkielensanoista , ettei tiedä mitä sana RYNTÄÄT tarkoittaa .. Minusta tuo episodi joka mikrofonin kanssa käytiin oli kerrassaan hauska !	neg,neg
308	. puhdasta tulee .. eli yliherkkä sotkuille :)	neu,pos
309	Suomen valtio ja Suomen maine toisessa maailmansodassa Mitä Suomen valtio on tehnyt antaakseen kansainväliselle lukijakunnalle suomalaisennäkemyksen Suomen asemasta toisessa maailmansodassa ?	neu,neu
310	Ja hyvä kirja aina mukana , jota sitten lueskelen sopivissa paikoissa .	pos,pos,pos
311	Erittäin osuvasti sanottu : mutta tottahan se on , että Ruotsi on Suomea parempi jääkiekossa .	pos,neu
312	Ja raahattiin sairaalasta kaikki potilaat ulos ja ammuttiin kasalle seinän viereen .	neg,neg
313	8. arpia .	neu,neu
314	1939 Italia oli täysin valmistautumaton sotaan : Sen armeija oli pieni ja koulutus oli kehnoa ( divisioonia kyllä oli runsaasti , mutta keskimäärin divisioonan miesvahvuus oli vain suurehkon rykmentin verran ) , sen panssaruvoimat olivat määrältään ja laadultaan täysin riittämättömät ja Italian sodanjohto oli kokematonta ja huonosti koulutettua , ja taktiikat mielikuvituksettomia .	neg,neg
315	Kepu auttoi jo Kataisen hallitusta Slunga-Poutsalon mielestä keskusta jatkaa tyylilleen uskollisesti puhuen toista mitä tosiasiassa tekee .	neg,neg
316	Toinen ja vielä vakavampi ongelma on se , että kriisin edistyessä maksettava määrä vain kasvaa .	neg,neg
317	ei näissä tämän keskustelun palkoissa mun mielestä ole mitään ihmeellistä ?	neu,neu
318	Onko tätä hölmöyttä tungettava joka paikkaan ?	neg,neg
319	.. Mitä haluan sanoa teille tässä on se että te puhutte arabeja ja muslimeja rasistisella tavalla !!!... ne ovat kaikki samanlaisia​​ ???... onko jokainen suomalainen raiskaaja .. tappaja .. pedofiili .	neg,pos
320	Tarkoituksena oli tiettävästi nostaa työttömyys 250.000 henkeen , mutta lama pääsi ryöstäytymään valloilleen .	neg,neu
321	Joissakin maissa halutaan nähdä myös passi , mutta itse en ole eu:ssa sitä joutunut enää näyttämään .	neu,neu,neu
322	Lähettää miehitysjoukot kreikkaan vai :)	neg,neg
323	Sitäpaitsi ikäero lapsuus- ja nuoruusvuosina oli niin huomattava , että liikuimme yleensä eri porukoissa .	neu,neu
324	Siinä voi tulla paha mieli neitsyen vartoojalle .	neg,neg
325	Toyotalla ei tällä hetkellä ennen uusia malleja ole mitään tarjottavaa .	neg,neg
326	Virosta liisatulla autolla ( vuokrauspalvelujen kilpailuahan ei voitane rajoittaa ) voisi moni olla halukas ajamaan ...	neu,pos
327	Tuo olisi hyvä nimimerkki , mutta joku jo varmasti käyttää sitä .	neu,pos
328	Tämä antisemitistinen salaliittoteoria toteutuu tasan niin pitkään , kun muulla maailmalla on munaa sanoa että nyt riittää .	neg,neu
329	Vaihtoehtoinen asioidenkulku olisi voinut olla : To 12.9. Saa viestini ja etsii minut tietokannasta .	neu,neu
330	kirjoituksesi on kuin suoraan jyrkin uhkailua , jota ei enää kuunnella .	neg,neg
331	Joku on sanonut että suomalaiseen mielenlaatuun ei oikein kuulu yhdenasian fanaattisuus .	neu,neu
332	olin gorpan aikana neukkulassa työkeikalla .	neu,neu,pos
333	EKP:llä on mahdollisuus toimia samalla tavoin amerikkalaisella sisarpankillaan FED:llä .	neu,neu
334	Linkkejä	neu,neu
335	Tämän takia moraalikäsitykset tulisi pitää vain paikallisina , esim valtiokohtaisina , eikä koittaa tuputtaa omia näkemyksiään ja uskomuksiaan vieraille kansoille ja kulttuureille .	neu,neg
336	Monilla on myös tosi kivat rastat , jotka on pesty ehkä viimeeksi 10 vuotta sitten .. Kuten myös koko henkilö muistakin osista .	neg,neg
337	Ei tiedä onko yksikään lopulta luotettava sillä he elää aivan eri maailmassa kuin köyhät ...... Oikeastaan ihan sama keikkuuko siellä Niinistö vai Lipponen jos ei oikeasti aijo tehdä kaikkeaan parantaakseen koko kansan oloja ja luopua vaikka omista mukavuuksistaan .........	neg,neg
338	Ei pelasteta ei , mutta ainakin pankkimaailmassa lypsävää lehmää kannattaa aina lypsää katkeraan loppuun asti ... utta jurpilainen sanoi että noi Suomen kansanedustajat ovat tyhmiä pellejä .	neg,neg
339	Nyt he valittavat kurjuuttaan ja huonoa omatuntoaan keuhkoahtaumataudissaan ... Hah ..................... Ei ollut meikäläisillä rikkaita vanhempia taustalla eikä varaa tupakkaan eikä viinaan ( ei kyllä tehnyt noita myrkkyjä mielikään - onneksi ) .	neg,neg
340	Naisen kumminkin pyrkivät keinoilla millä hyvänsä ( usein käyttäen poliittista painostusta ja uhkailua valtiollisen akkavallan muodossa ) ”uraputkena” huipulle , ja perustavat sitten perheen joskus 30-40 : sinä , ja synnyttävät silloin MAKSIMISSAAN 3-lasta , ja sitten vielä jossain vaiheessa ”tasa-arvoisesti” ottavat avioeron , jolloin nämäkin lapset sitten kasvavat rikkoutuneessa kasvuympäristössä , ellei sitten ole niin ”moderni” , että hankkii lapset sitten keinohedelmöityksellä tai tuhansien kilometrien päästä adoptoimalla !	neg,pos
341	hyvä vaan että kyseinen hotelli remontoitiin :D	pos,pos
342	Nykyisen työsuhdelain puitteissa ei työntekijöillä ole todellisuudessa tulosvastuuta .	neu,neu
343	Pääseeköhän Rapunen sillä mädällä selaimella ( illa ) kohta mihinkään ?	neg,neu
344	Matti Putkonen varmistaa kaikien raiskaajien äänet persuille .	neg,neg
345	köyhyys ei oo häpiä , tyhmyys on .	neg,neg
346	jatketaan aina kuin on lama .	neg,neu
347	Jotenkin tuli mieleeni , että joku niitä veneitä rasittaa selvästi enemmän ja/tai sitten vaan sielä ei ole niin tapana veneistä hoitaa .	neg,neg
348	Siitähän löytyisi hyvä peruste transuleiman poistamiselle ja tietokantojen salaamiselle .	neu,neg
349	ei riitä että koira saa tarpeeksi liikuntaa , sen täytyy saada myös leikitystä ja paijjaamista .	neu,neu
350	Täytyy lähettää ylelle palautetta ja kysyä !	neu,neu
351	Miten ihmeessä Niinistö , kokoomus ja puolustusvoimat viitsivät pitää sinua sähköjäniksenään .	neg,neg
352	Voimme manata tänne jostain varmaan linguistiikan professorin joka voi kertoa sinulle että kuvailemani vivahteet ovat oikeita nykyaikana .	neu,neg
353	Vain siksi että tuo edustuksellinen demokratia säiryy , siis EU pysyy kasassa ja leikkipaikkoja edustuksellisen demokraitian hyötyjille löytyy entistä enemmän , oikein monessa kerroksessa , rakennuksessa ja kaupungissa ;)	neu,pos
354	Seksologi on kai se titteli mutta tittelin takana olevan ihmisen puuhista ja merkityksestä en ole oikein päässyt selville .	neg,neu
355	Se oli joku Stadin kundi , eli ihan kuka vaan .	neu,neu
356	Ruusupuusta tulee aivan upeita mm koristeveistettyjä peilinkehyksiä .	pos,pos
357	Karjalan palautus ja itämerensuomalaisten sukukansojen elvytys/itsenäisyys voivat olla yksi pitkäaikaisista poliittisista tavoitteistamme .	pos,neu
358	Varmasti maistuu teillekkin hänen ja monen muun tekemät maukkaat kebapit ?	pos,neu
359	Minä kun en ole TODELLAKAAN EN OLE !, vastuussa missään määrin _vaikkapa sellaisesta_ , että jos joku sekopää on minua rekisteröinyt vaikkapa tän Suomi24 : n jäseneksi .	neg,neg
360	Nyt tietysti joku alkaa selittää kuinka suomalaiset naiset käy turkissa seksilomilla , no jos joku sitä haluaa niin siitä vaan se on jokaisen oma asia mitä itsellään ja omalla kropallaan tekee jos ei vahingoita toisia .	pos,neg
361	Otsikossasi Ruuneperi olet aivan oikein kirjoittanut auringon kilo kahtena eri sanana .	neg,pos
362	Ei voi sanoa toiselle , mitä sun pitäis äänestää .	neu,neu
363	Saarella oli paljon nähtävää ja naapurisaari Symi oli häkellyttävän kaunis .	pos,pos
364	Samaa naurun hyrskettä oli Islamilaisessa illlassa homojen tappajille ja Suomen valloittajien puheille , mutta loppui nauru ja hiljaa ollaan kuin k.si sukassa .	neg,neg
365	huijaavat maataloustukia ja muutakin paskaa .	neg,neg,neg
366	MTV3 : n uutisten verkkosivun mukaan vihreiden puheenjohtaja työministeri Anni Sinnemäki vahvistaa , että kansanedustaja Pekka Haavisto on puolueen tuleva presidenttiehdokas .	neu,neu
367	Männistön ja Orpon mielestä nykyjärjestelmä on monimutkainen , joten sen tilalle pitää luoda yksinkertainen , läpinäkyvä ja työntekoon kannustava malli .	neu,neg
368	James Randilta saa miljoonan jos onnistuu osoittamaan yliluonnollisen kyvyn tai ilmiön .	neg,neu
369	Otin sinua niskavilloista kiinni osoittaakseni , että olet tehnyt toistuvasti väärin olemalla tottelematon tässä asiassa .	neu,neg
370	Ei ole Suomessa mahdollista ?	neu,neu
371	Pysyn pelkästään alkoholi puolella : siideri , valkkari .. 13. Tykkäätkö ottaa aurinkoa ?	neu,neu
372	Itselleni naisen hymy on yhtäkuin lupaus seikkailusta silti se hymykin vaan äärimmäisen harvoin tarkoittaa yhtään mitään .	pos,neg
373	Kaikki kuulostavat mielipiteiltäsi , tosin älykkyytesi ja sivistyksesi ei riitä noin pitkässä kirjoituksessa tietenkään mainitsemaan sitä , eikä tietenkään minkään valtakunnan perusteluja .	neg,neg
374	Jääräpäisyys on myönteinen ominaisuus , siitä kannattaa pitää kiinni ja kehittää edelleen .	pos,pos
375	Minusta Kroatiassa ihmiset on ystävällisiä ja palvelunhaluisia ei tyrkyttäviä .	pos,pos
376	Karjalan rintaman hyökkäykselle asetettu tavoite 30.8.1944 mennessä Suunnitelman mukaan Karjalan rintaman Aunuksen Karjalassa toimineet joukot hyökkäisivät sirppinä verratten heikoin voimin laajalla rintamallaan Syväriltä Karhumäen tasalle , tavoitteenaan suomalaisten joukkojen takaa-ajo .	neu,neu
377	Mikä koulutusta vaaditaan ?	neu,neu
378	Jaa-a ... paha sanoa , en ole vuosiin käynyt missään muualla kuin Suomen Tivolissa 121. Paras huvipuisto ulkomailla jos olet käynyt ?	neu,pos
379	Toivottavasti riittää .	pos,neu
380	Soini ei taas voi perääntyä kasvojaan menettämättä EU-kysymyksissä .	neu,neu
381	Voi kestää kuukausiakin , kun tilanna taas tasaantuu .	neg,neu
382	Uskon kuitenkin että ensi vuodesta tulee ihan hyvä ; saanhan ainakin ihan kokonaan määrätä ajankäyttöni toisin kuin aikaisemmin .	pos,pos
383	SUOMESSA hoitohenkilökunnalla on oikeus rokottaa toisin kuin monessa muussa maassa .	pos,neu
384	Kaikki huonosti menestyvät opiskelijat ovat olleet narsistiopettajan uhreja .	neg,neg
385	Tietäskö joku ?	neu,neu
386	Sillä jos elinkeinopolitiikkaan ja julkiseen omistukseen suhtaudutaan yksinomaan ideologiselta kannalta , siitä saatetaan maksaa kova hinta .	neg,neg
387	Sinne on niin mukava jatkaa rahan syytämistä .	neg,neg
388	Jenkit saa mennä , muut ovat pärjänneet ilman sitä ennenkin , vuoden parin kupru ja se siitä , toivottavasti uppoaisi mereen koko paska .	neg,neg
389	Ei tule pöperöt kaikille kelpaamaan !	neg,neg
390	Nazismi elää edelleen , mutta kukaan ei enää heiluttele nazi-lippuja .	neg,pos
391	Työ ja kauppareissut onnistuisi sähköllä , pidemmät matkat aluksi sähköllä sitten bensalla .	neu,neu
392	Tanskassa sähkölämmityksestä luopumista tuetaan valtion varoin .	pos,neu
393	Näyttelijä valinnat on menny just nappiin , paitsi Marton Chsokas on melko huonohko ... jos näin voisi sanoa !	pos,pos
394	Ylen dokumentista : Julkisen sairaala-rakennuksen yhteyteen haluttiin viheralue .	neu,neu
395	Voi sen laittaa siihen satulan päälle , niin ei satula kastu sateella :-)	pos,pos
396	Autot ja asunnot ja kesämökin Bodomilta .	neu,neu
397	rutti ha o puhe vamma ei se mikää kieli oo !!!! kuulostaakii nii hemmeti pahalta et tekee miel vetää daijjuu sitä joka mölisee sillä kielellä !!!!! eihä siellä homojen maassa etes opeteta SUOMEA vaa täällä pittää olla kaikki nuille ruattalaasille perkele !!!!! paska kieli se on !!!!!!!!	neg,neg
398	Koska itä on itä , saa se olla itä .	neu,neu
399	Kyllä Suomessa on aina hyvä elää työtä tehdä ja yrittää .	pos,pos
400	Mutta masennus on sairaus ja iso sellainen ... sillä se vie menneessään muutakin kuin pelkän työntekijän .. pahimmillaan koko sen yhden ihmiselämän .	neg,neg
401	Hymyilytti tuo kassinvaihtosi :) minä taas kun käytän vain enimmäkseen suljettuja taskuja maksuvälineille .	pos,pos
402	Hyvä niin että ymmärsit kuiten jättää jo asian , vaikka viimeisen sanan koetitkin heittää , joskin käsittämättömän mutta kuitenkin .	neu,neu
403	Jälleennäkemisen ihanassa toivossa .	pos,pos
404	Kun emäntä pyysi tarjousta , oli jo puhdistusaika sovittu ja epämääräinen tilausvahvistus sähköpostissa .	neu,neg
405	Tämä ydinvoiman vastutus on demokratiaan kuuluva hyvä ja tärkeä asia , yrityksiltä pitää voida vaatia yhteiskuntavastuuta ja kansalaisten eli asiakkaiden kuuntelemista .	pos,pos
406	Joskus saattaa olla kyse hyvän työnanatajan illusiosta .	neg,neu
407	Ja jos selitys on se , että mies lyö : NIIN MITÄ VITTUA SINÄ VIELÄ TEET SIINÄ SUHTEESSA !! Älykääpiö taidat olla , en enää tämän ajatustenvaihdon jälkeen ihmettele , että jotkut naiset elävät väkivallan varjossa tai sietävät vuodesta toiseen pettävää miestään tai kituuttavat selibaatissa .	neg,neg
408	Uskallanpa poikarukka väittää että tiedän luonnon havainnoinnista luultavasti ja hyvin todennäköisestikin sinua enemmän .	neg,neg
409	Suomalaiset havahtuivat näkemään Kreikan tilanteesta , että mihin se johtaa , jos populistit äänestetään maan johtoon .	neu,neu
410	Niinhän se on , että tämänkaltaisella palstalla on lupa haukkua vain enemmän tienaavia , huippupalkkaisia johtajia , kokoomuspoliittikkoja , rikkaita , yleensäkin urallaan menestyviä jne jne. Minkään asian kehuminen ei ole sallittua .	neg,neg
411	Asut vuokra-asunnossa ilmeisesti .	neu,neu
412	Kepulaiset ovat pettäjä porukkaa ja tästä roolista he eivät pääse irti , vaikka harrastavat politiikkojen vaihtovuoroja ilmapiiripuhditusunohdusmielessä .	neg,neg
413	Toivottavasti hallitus kaatuu ja petturi Urpilainen häipyy .	neg,neg
414	Oletko sitten myös sitä mieltä , että nainen on itse syyllinen raiskaukseen , jos pukeutuu paljastavasti ?	neg,neg
415	Niin , ja haluan tähän vielä lisätä , että kaikki on yhtä totta , kuin että jos minä olisin vaalea hetero mies .	neg,pos
416	Lisäksi tietenkin on länsilehdistö joka käy omaa mediasotaansa .	neu,neu
417	sie vitun sälli mee uimaan vaikka vantaa jokeen mutta me persut pidämme pintamme	neg,neg
418	Eräs hänen suurimmista ongelmistaan on se , että mitä kauniimmaksi nainen tulee , sitä vaikeampaa hänen on hillitä orgasmiaan .	neg,pos
419	Kemi on kurja paikka .	neg,neg
420	mene urheilu lukioon jos tollasta priima miestä etsit .	neg,neu
421	Aivan karmea on myos Derya Tur joka menee vuoropaivina Kreikkaan muina Albaniaan .	neg,neu
422	Mulle ainakin alakarppaus on keino pysyvään painonhallintaan ja hyvinvointiin , kuten monille ystävillenikin :)	pos,pos
423	Kastetilaisuudessa pappi on älynnyt kysyä Minkä nimen te olette tälle lapselle antaneet ?	pos,neu
424	Keskity sinä vain potkimaan sitä suopalloa siellä Kuopion ja Seinäjoen kentillä mokomakin tuilla loisiva vätys .	neg,neg
425	mutta en sitten tiedä .. saattaa olla että oli virkailijalla huono päiväkin ..	neu,neg
426	No itse olen ainakin ihan oikea ihminen .	pos,neu
427	Yritysten tukiaiset ovat suuret , eikä niitä ole sidottu työllistämiseen tai Suomessa pysymiseen : - yritysten innovaatio ja yritysten kansainvälistyminen 823 , 3 milj. euroa , alueiden kehittäminen ja rakennerahastot 615 , 2 milj. euroa ( vastaavat summat viime vuonna 787,28 ja 594,24 milj. euroa ) - yritysten työllistämis- , koulutus- ja erityistoimet 530 , 3 milj. ( viime vuonna 560,75 ) jne. Maa- ja metsätalousministeriön budjetti on tänä vuonna 2,83 miljardia eli sama kuin viime vuonna .	neu,neg
428	ja ei nosta kun jutut loppuu siihen	neu,neu
429	Työnantajapuoli on perustellut kantansa neuvotteluissa .	neu,neu
430	Jumaliste , ne tuet ovat niin hiton pieniä , ettei niillä kukaan rikastu .	neg,neg
431	Osaako joku muuten sanoa , että ruokitaanko turkiseläimiä edelleenkin pursottamalla ulosteen näköistä tahnaa häkin katolle , ja eläimet sitä sitten ristikoiden väleistä nuolevat ?	neg,neg
432	Monta kertaa sitte haastattelussa tulee se karu totuus esiin , kun on haettu ammattitaitoista työntekijää ja palkka on kengänkiillottajan palkan luokkaa .	neg,neg
433	Oma puhelimeni oli jossain hukassa .	neu,neu
434	Päättäjät eivät voi kirveelläkään myöntää olleensa väärässä , vaan antavat tuhon jatkua täälläkin kunnes on myähäistä tehdä mitään .	neg,neg
435	Olihan se väärin kun Saksan piti nöyrtyä .	neg,neg
436	Kuten Virossa .	neu,neu
437	Ei tämä suru ikinä lopu /häviä , se kulkee tässä mukana , nykyisessä elämässä .	neg,neg
438	18:4 Lähtekää siitä ulos , te minun kansani , ettette tulisi hänen synteihinsä osallisiksi ja saisi tekin kärsiä hänen vitsauksistansa .	neg,neu
439	( Ei mitään reseptilantattua vaan aitoa itse chilistä uutetua !	pos,neu
440	En olisi itkenyt yhden päivän palkkani vuoksi , vaan ollut iloinen siitä , että voin maata kotona .	neg,pos
441	Eli itse suosittelisin sinua todellakin tekemään rikosilmoituksen .	neu,neu
442	Persut voittivat vaalit , joten he ovat ainoa ja oikea puolue johtamaan maata tässä tilanteessa .	pos,neu
443	Sillä samalla kädellä net käypi äänestämässä Persuja .	neg,neg
444	Silloin EU pani NATOn polvilleen .	pos,neg
445	tilaisin aurinkopaneelin 100w hintaan 200,00	neu,neu
446	Lämmin tervehdys Sinulle kuitenkin ja myötätuntoni , mitä sitten onkaan tapahtunut .	pos,pos
447	Tv maksulla saa muuten aika monta mukavaa asiaa toteutettua .	pos,pos
448	Ei ole .	neu,neu
449	Inhokkipäiväsi : - maanantai .	neg,neg
450	Edelleen iso , ilkeä ja kovaa taklaava pelimies .	neg,neu
451	Mitä tuolla myöntämisellä tai väittämisellä nyt oikein ajetaan takaa ?	neu,neu
452	Hiljaista on , ei nauru kuulu !	neu,neg
453	Huono mikä huono siis johtopäätöksenä tehty viisaasti .	neg,neg
454	Nyt alkaa taas karmea pakkaaminen .	neg,neg
455	Se ei voi sietää itsenäisiä ja vapaita maita .	neg,neg
456	Vastapainona , ainakin näin ketään erityisesti tarkoittamatta pitää voida sanoa läskiä läskiksi !	neg,neu
457	Tyttäreni kertoi bussiyhteyksien vaikeuksista aamuyöllä , siksi kaverin kaveritkin olivat tulleet meille yöpymään .	neu,neg
458	Tämä ja monta muuta uskonnollisesta yhteisöstä erottamiseen liittyvää asiaa selviävät , kun studioon saapuvat Jehovan todistajista eronneista väitellyt tutkija ja erottamisen kokenut entinen Jehovan todistaja .	neu,neu
459	Nyt oli uutinen kuinka juoppo ylikonstaapeli oli heittäytynyt sairauslomalle jätyään kiinni ratista .	neg,neg
460	Sää vaan et taida olla ehta greku on toi kansallisuuden väärin kirjoittaminen vaan niin paljastavaa	neg,neg
461	Jasminin ylimielisyys on heikolla itsetunnolla varustettujen stalkkerien kateutta .	neg,neg
462	Niin kauan kun on vakaa kysyntä , hinnat nousee .	neu,neg
463	Perillä saa aina rahaa sillä ei kaikki automaatit ole rikki .	pos,neu
464	Hyvä kun on sähkö + sisävessa , siinäpä ne mukavuudet .	neg,neg
